unique_key,created_date,closed_date,complaint_type,status,resolution_time_hours,resolution_time_days,is_valid_closed,exact_dup_group_size,is_exact_duplicate,is_excess_duplicate_row,breaches_30day_threshold,created_day,created_dayofweek
60743072,2024-04-01 10:59:01,2024-04-25 10:03:56,PAINT/PLASTER,Closed,575.08,23.96,True,1,False,False,False,2024-04-01,Monday
60740773,2024-04-01 10:59:01,2024-04-25 10:03:56,UNSANITARY CONDITION,Closed,575.08,23.96,True,1,False,False,False,2024-04-01,Monday
60746577,2024-04-01 10:59:01,2024-04-03 15:40:06,PLUMBING,Closed,52.68,2.19,True,1,False,False,False,2024-04-01,Monday
60740764,2024-04-01 10:58:58,2024-04-11 09:28:43,UNSANITARY CONDITION,Closed,238.5,9.94,True,3,True,False,False,2024-04-01,Monday
60744315,2024-04-01 10:58:58,2024-04-11 09:28:43,UNSANITARY CONDITION,Closed,238.5,9.94,True,3,True,True,False,2024-04-01,Monday
60748815,2024-04-01 10:58:58,2024-04-11 09:28:43,FLOORING/STAIRS,Closed,238.5,9.94,True,1,False,False,False,2024-04-01,Monday
60747826,2024-04-01 10:58:58,2024-04-11 09:28:43,UNSANITARY CONDITION,Closed,238.5,9.94,True,3,True,True,False,2024-04-01,Monday
60745457,2024-04-01 10:58:44,2024-04-10 11:48:32,UNSANITARY CONDITION,Closed,216.83,9.03,True,2,True,False,False,2024-04-01,Monday
60746645,2024-04-01 10:58:44,2024-04-10 11:48:32,UNSANITARY CONDITION,Closed,216.83,9.03,True,2,True,True,False,2024-04-01,Monday
60747743,2024-04-01 10:58:44,2024-04-10 11:48:32,PAINT/PLASTER,Closed,216.83,9.03,True,1,False,False,False,2024-04-01,Monday
60740685,2024-04-01 10:58:35,2024-04-01 23:26:53,HEAT/HOT WATER,Closed,12.47,0.52,True,1,False,False,False,2024-04-01,Monday
60741843,2024-04-01 10:58:29,2024-04-01 17:23:27,HEAT/HOT WATER,Closed,6.42,0.27,True,1,False,False,False,2024-04-01,Monday
